NUESP,ESP,RL_2022
59396,Lasioglossum subfulvicorne,LC
59397,Lasioglossum subhirtum,DD
59398,Lasioglossum tarsatum,EN
59439,Lasioglossum transitorium,EN
59399,Lasioglossum tricinctum,LC
59400,Lasioglossum villosulum,LC
59401,Lasioglossum xanthopus,VU
59402,Lasioglossum zonulum,LC
59559,Lithurgus chrysurus,VU
59512,Macropis europaea,LC
59503,Macropis fulvipes,LC
59560,Megachile alpicola,LC
59561,Megachile analis,NT
59562,Megachile apicalis,EN
59578,Megachile argentata,LC
59563,Megachile centuncularis,LC
59564,Megachile circumcincta,LC
59566,Megachile ericetorum,LC
59567,Megachile flabellipes,EN
59568,Megachile genalis,CR
59569,Megachile lagopoda,VU
59570,Megachile lapponica,LC
59571,Megachile leachella,EN
59572,Megachile ligniseca,NT
59573,Megachile maritima,VU
59574,Megachile melanopyga,NT
59575,Megachile nigriventris,LC
59576,Megachile parietina,VU
59577,Megachile pilicrus,VU
59579,Megachile pyrenaea,VU
59580,Megachile pyrenaica,VU
59581,Megachile rotundata,LC
59592,Megachile sculpturalis,NE
59582,Megachile versicolor,LC
59583,Megachile willughbiella,LC
59738,Melecta albifrons,LC
59736,Melecta festiva,EN
59737,Melecta luctuosa,VU
59505,Melitta dimidiata,EN
59506,Melitta haemorrhoidalis,LC
59507,Melitta leporina,LC
59508,Melitta nigricans,NT
59509,Melitta tricincta,VU
59223,Melitturga clavicornis,VU
59739,Nomada alboguttata,VU
59740,Nomada argentata,EN
59741,Nomada armata,VU
59742,Nomada atroscutellaris,LC
59836,Nomada baccata,RE
59745,Nomada bifasciata,LC
59747,Nomada bispinosa,RE
59748,Nomada blepharipes,CR
59749,Nomada bluethgeni,RE
59750,Nomada braunsiana,VU
59751,Nomada carnifex,RE
59752,Nomada castellana,NT
59753,Nomada chrysopyga,RE
59754,Nomada confinis,RE
59755,Nomada conjungens,NT
59756,Nomada connectens,RE
59757,Nomada discrepans,RE
59758,Nomada distinguenda,NT
59759,Nomada emarginata,VU
59760,Nomada errans,EN
59761,Nomada fabriciana,LC
59762,Nomada facilis,LC
59763,Nomada femoralis,VU
59764,Nomada ferruginata,VU
59765,Nomada flava,LC
59838,Nomada flavilabris,RE
59766,Nomada flavoguttata,LC
